[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	12.02.2018 16:38:29
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,0000 to 2500,0000
Scan Speed:	Slow
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Light Source Change Wavelength:	282,0 nm
Detector Change Wavelength:	810,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	1,0000000
Points:	1
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	87.482
302.0	85.474
304.0	85.289
306.0	85.457
308.0	85.616
310.0	85.854
312.0	86.075
314.0	86.134
316.0	86.003
318.0	85.863
320.0	86.105
322.0	86.147
324.0	86.104
326.0	86.382
328.0	86.383
330.0	86.436
332.0	86.609
334.0	86.752
336.0	86.992
338.0	87.140
340.0	87.112
342.0	87.132
344.0	87.225
346.0	87.175
348.0	87.241
350.0	87.387
352.0	87.386
354.0	87.421
356.0	87.518
358.0	87.663
360.0	87.849
362.0	87.866
364.0	87.891
366.0	88.036
368.0	88.084
370.0	88.126
372.0	88.237
374.0	88.303
376.0	88.455
378.0	88.521
380.0	88.437
382.0	88.391
384.0	88.356
386.0	88.405
388.0	88.525
390.0	88.695
392.0	88.751
394.0	88.792
396.0	88.855
398.0	88.878
400.0	88.950
402.0	89.006
404.0	89.105
406.0	89.137
408.0	89.079
410.0	89.139
412.0	89.235
414.0	89.264
416.0	89.282
418.0	89.297
420.0	89.383
422.0	89.424
424.0	89.354
426.0	89.403
428.0	89.447
430.0	89.491
432.0	89.594
434.0	89.647
436.0	89.673
438.0	89.697
440.0	89.751
442.0	89.757
444.0	89.775
446.0	89.847
448.0	89.890
450.0	89.868
452.0	89.917
454.0	89.969
456.0	90.024
458.0	90.024
460.0	90.007
462.0	90.092
464.0	90.163
466.0	90.201
468.0	90.216
470.0	90.198
472.0	90.230
474.0	90.279
476.0	90.273
478.0	90.326
480.0	90.367
482.0	90.323
484.0	90.321
486.0	90.450
488.0	90.465
490.0	90.465
492.0	90.536
494.0	90.565
496.0	90.578
498.0	90.599
500.0	90.611
502.0	90.613
504.0	90.596
506.0	90.634
508.0	90.683
510.0	90.651
512.0	90.703
514.0	90.738
516.0	90.785
518.0	90.883
520.0	90.871
522.0	90.889
524.0	90.938
526.0	90.941
528.0	90.958
530.0	90.942
532.0	90.948
534.0	90.994
536.0	91.035
538.0	91.052
540.0	91.083
542.0	91.136
544.0	91.188
546.0	91.220
548.0	91.212
550.0	91.200
552.0	91.257
554.0	91.312
556.0	91.316
558.0	91.341
560.0	91.333
562.0	91.307
564.0	91.272
566.0	91.270
568.0	91.350
570.0	91.330
572.0	91.299
574.0	91.388
576.0	91.431
578.0	91.422
580.0	91.422
582.0	91.396
584.0	91.414
586.0	91.458
588.0	91.446
590.0	91.408
592.0	91.434
594.0	91.505
596.0	91.513
598.0	91.510
600.0	91.501
602.0	91.519
604.0	91.568
606.0	91.595
608.0	91.580
610.0	91.608
612.0	91.649
614.0	91.634
616.0	91.641
618.0	91.689
620.0	91.708
622.0	91.705
624.0	91.719
626.0	91.710
628.0	91.710
630.0	91.757
632.0	91.776
634.0	91.779
636.0	91.786
638.0	91.762
640.0	91.757
642.0	91.811
644.0	91.856
646.0	91.869
648.0	91.823
650.0	91.835
652.0	91.925
654.0	91.972
656.0	91.930
658.0	91.891
660.0	91.913
662.0	91.956
664.0	91.997
666.0	91.982
668.0	91.933
670.0	91.924
672.0	91.965
674.0	92.018
676.0	92.050
678.0	92.010
680.0	92.024
682.0	92.093
684.0	92.056
686.0	92.047
688.0	92.142
690.0	92.159
692.0	92.085
694.0	92.068
696.0	92.159
698.0	92.183
700.0	92.178
702.0	92.165
704.0	92.154
706.0	92.203
708.0	92.186
710.0	92.154
712.0	92.139
714.0	92.139
716.0	92.134
718.0	92.099
720.0	92.155
722.0	92.192
724.0	92.151
726.0	92.140
728.0	92.139
730.0	92.122
732.0	92.120
734.0	92.146
736.0	92.101
738.0	92.058
740.0	92.136
742.0	92.155
744.0	92.188
746.0	92.220
748.0	92.216
750.0	92.192
752.0	92.166
754.0	92.120
756.0	92.111
758.0	92.267
760.0	92.328
762.0	92.325
764.0	92.322
766.0	92.305
768.0	92.326
770.0	92.416
772.0	92.433
774.0	92.374
776.0	92.406
778.0	92.343
780.0	92.261
782.0	92.357
784.0	92.401
786.0	92.378
788.0	92.447
790.0	92.471
792.0	92.441
794.0	92.471
796.0	92.433
798.0	92.387
800.0	92.448
802.0	92.490
804.0	92.589
806.0	92.607
808.0	92.644
810.0	92.538
812.0	91.884
814.0	91.420
816.0	91.829
818.0	91.989
820.0	91.866
822.0	91.628
824.0	91.345
826.0	91.286
828.0	90.820
830.0	90.918
832.0	91.150
834.0	91.495
836.0	91.396
838.0	91.185
840.0	91.940
842.0	92.172
844.0	91.963
846.0	92.328
848.0	91.638
850.0	91.188
852.0	91.814
854.0	91.949
856.0	92.245
858.0	91.821
860.0	91.667
862.0	92.023
864.0	92.241
866.0	91.815
868.0	91.289
870.0	91.805
872.0	92.061
874.0	91.873
876.0	91.792
878.0	91.699
880.0	91.818
882.0	92.004
884.0	91.846
886.0	91.615
888.0	91.612
890.0	91.548
892.0	91.420
894.0	91.493
896.0	91.469
898.0	91.409
900.0	91.557
902.0	91.687
904.0	91.632
906.0	91.640
908.0	91.670
910.0	91.631
912.0	91.647
914.0	91.566
916.0	91.560
918.0	91.554
920.0	91.533
922.0	91.635
924.0	91.557
926.0	91.223
928.0	91.266
930.0	91.299
932.0	91.209
934.0	91.255
936.0	91.245
938.0	91.040
940.0	90.779
942.0	90.756
944.0	90.694
946.0	90.591
948.0	90.273
950.0	89.957
952.0	89.706
954.0	89.519
956.0	89.365
958.0	89.120
960.0	88.849
962.0	88.580
964.0	88.544
966.0	88.622
968.0	88.521
970.0	88.448
972.0	88.516
974.0	88.399
976.0	88.277
978.0	88.338
980.0	88.397
982.0	88.454
984.0	88.414
986.0	88.441
988.0	88.499
990.0	88.557
992.0	88.773
994.0	88.829
996.0	88.817
998.0	88.937
1000.0	89.084
1002.0	89.165
1004.0	89.163
1006.0	89.259
1008.0	89.423
1010.0	89.420
1012.0	89.420
1014.0	89.639
1016.0	89.839
1018.0	89.972
1020.0	90.016
1022.0	89.977
1024.0	90.085
1026.0	90.283
1028.0	90.402
1030.0	90.482
1032.0	90.538
1034.0	90.585
1036.0	90.652
1038.0	90.750
1040.0	90.805
1042.0	90.840
1044.0	90.988
1046.0	91.096
1048.0	91.113
1050.0	91.161
1052.0	91.183
1054.0	91.168
1056.0	91.231
1058.0	91.237
1060.0	91.209
1062.0	91.290
1064.0	91.447
1066.0	91.388
1068.0	91.272
1070.0	91.290
1072.0	91.385
1074.0	91.461
1076.0	91.472
1078.0	91.446
1080.0	91.321
1082.0	91.348
1084.0	91.357
1086.0	91.286
1088.0	91.188
1090.0	91.095
1092.0	91.109
1094.0	91.104
1096.0	91.107
1098.0	91.019
1100.0	90.918
1102.0	90.985
1104.0	90.919
1106.0	90.735
1108.0	90.710
1110.0	90.764
1112.0	90.747
1114.0	90.704
1116.0	90.663
1118.0	90.578
1120.0	90.497
1122.0	90.413
1124.0	90.291
1126.0	90.132
1128.0	90.054
1130.0	89.789
1132.0	89.427
1134.0	89.169
1136.0	88.791
1138.0	88.342
1140.0	87.778
1142.0	87.091
1144.0	86.427
1146.0	85.893
1148.0	85.396
1150.0	84.845
1152.0	84.296
1154.0	83.928
1156.0	83.647
1158.0	83.389
1160.0	83.224
1162.0	83.138
1164.0	83.037
1166.0	82.892
1168.0	82.791
1170.0	82.790
1172.0	82.767
1174.0	82.726
1176.0	82.661
1178.0	82.530
1180.0	82.526
1182.0	82.533
1184.0	82.530
1186.0	82.481
1188.0	82.361
1190.0	82.288
1192.0	82.283
1194.0	82.297
1196.0	82.292
1198.0	82.278
1200.0	82.320
1202.0	82.410
1204.0	82.391
1206.0	82.323
1208.0	82.391
1210.0	82.466
1212.0	82.520
1214.0	82.549
1216.0	82.530
1218.0	82.574
1220.0	82.668
1222.0	82.800
1224.0	82.843
1226.0	82.828
1228.0	82.861
1230.0	82.939
1232.0	83.060
1234.0	83.099
1236.0	83.174
1238.0	83.224
1240.0	83.212
1242.0	83.250
1244.0	83.301
1246.0	83.411
1248.0	83.571
1250.0	83.614
1252.0	83.540
1254.0	83.542
